,Course Name,CRM,Department,Course Code,Section,Credits,Time,Days,Location,Instructor
203,Adv Operating Systems,20951,CS,6210,A,3,11:00 am - 11:50 am,MWF,Instructional Center 215,Ada   Gavrilovska (P)
204,Secure Computer Systems,30819,CS,6238,A,3,12:30 pm - 1:45 pm,TR,Van Leer C241,Mustaque   Ahamad (P)
205,Compiler Design,30820,CS,6241,A,3,3:30 pm - 4:45 pm,MW,Van Leer C457,Santosh   Pande (P)
206,Applied Cryptography,30821,CS,6260,A,3,2:00 pm - 3:15 pm,TR,Molecular Sciences and Engr G011,Alexandra   Boldyreva (P)
207,Infosec Labs: Defenses,33522,CS,6264,OCY,3,TBA, ,TBA,Wenke   Lee (P)
208,High Perform Comput Arch,21973,CS,6290,A,3,12:30 pm - 1:45 pm,TR,Klaus Advanced Computing 1443,Thomas Martin  Conte (P)
209,Intro Enterprise Comput.,30813,CS,6365,A,3,12:30 pm - 1:45 pm,TR,Klaus Advanced Computing 1456,Calton   Pu (P)
210,Programming Languages,32606,CS,6390,A,3,3:30 pm - 4:45 pm,MW,Kendeda 210,Vivek   Sarkar (P)
211,Intro Health Informatics,30795,CS,6440,A,3,3:30 pm - 4:45 pm,TR,Clough UG Learning Commons 102,Jon D  Duke (P)
212,Video Game Design,24427,CS,6457,A,3,9:30 am - 10:45 am,MW,Mason 1133,Jeffrey Brian  Wilson (P)
213,Educ Tech-Foundations,24289,CS,6460,A,3,2:00 pm - 3:15 pm,MW,Instructional Center 111,Elizabeth Nora  Disalvo (P)
214,Online Communities,30741,CS,6470,A,3,12:30 pm - 1:45 pm,TR,Kendeda 210,Amy S  Bruckman (P)
215,Comp Social Science,30742,CS,6471,A,3,3:30 pm - 4:45 pm,MW,Howey Physics S106,Diyi   Yang (P)
216,Social Computing,30743,CS,6474,A,3,12:30 pm - 1:45 pm,MW,Skiles 202,Munmun   De Choudhury (P)
217,Computer Vision,25470,CS,6476,A,3,3:30 pm - 4:45 pm,TR,Clough UG Learning Commons 152,James Henry  Hays (P)
218,Computer Graphics,33420,CS,6491,A,3,9:30 am - 10:45 am,TR,760 Spring St NW 235,Jaroslaw R  Rossignac (P)
219,Comp Aesthetics,33419,CS,6497,A,3,3:30 pm - 4:45 pm,TR,Scheller College of Business 200,Jaroslaw R  Rossignac (P)
220,Intro to Grad Algorithms,27658,CS,6515,A,3,3:30 pm - 4:45 pm,TR,College of Computing 16,Gerandy   Brito (P)
221,Design& Analy-Algorithms,31137,CS,6550,A,3,2:00 pm - 3:15 pm,MW,Weber SST III 1,Sahil   Singla (P)
222,Advance Internet Comput,30817,CS,6675,A,3,3:30 pm - 4:45 pm,MW,Ford Environmental Sci & Tech L1205,Ling   Liu (P)
223,Info Security Policies,30017,CS,6725,A,3,6:30 pm - 9:15 pm,M,Scheller College of Business 200,Peter P  Swire (P)
224,Human-Computer Interact,27944,CS,6750,A,3,3:30 pm - 4:45 pm,MW,Manufacture Rel Discip Complex 2404,Rosa   Arriaga (P)
225,Issues/Human-Center Comp,30797,CS,7455,A,3,2:00 pm - 3:15 pm,MW,D.M. Smith 203,Christopher Alexis  Le Dantec (P)
226,Ubiquitous Computing,26317,CS,7470,A,3,9:30 am - 10:45 am,TR,College of Computing 17,Thomas   Ploetz (P)
227,Behavioral Imaging,30793,CS,7626,A,3,3:30 pm - 4:20 pm,MWF,Van Leer E283,James Matthew  Rehg (P)
228,AI Storytell In Vir Wrld,32633,CS,7634,A,3,3:30 pm - 4:45 pm,TR,Weber SST III 1,Mark O  Riedl (P)
229,Machine Learning,24057,CS,7641,A,3,12:30 pm - 1:45 pm,TR,Molecular Sciences and Engr G011,Mohammad Mahdi   Roozbahani (P)
230,Deep Learning,26465,CS,7643,A,3,2:00 pm - 3:15 pm,MW,Klaus Advanced Computing 2443,Zsolt   Kira (P)
231,Robot Intelli: Planning,32634,CS,7649,A,3,9:30 am - 10:45 am,TR,J. Erskine Love Manufacturing 185,Matthew Craig  Gombolay (P)
232,Natural Language,28618,CS,7650,A,3,2:00 pm - 3:15 pm,MW,Instructional Center 211,Alan   Ritter (P)
233,Graphical Models in ML,31748,CS,7751,A,3,2:00 pm - 3:15 pm,MW,Howey Physics L2,Faramarz   Fekri (P)
234,Intro Robotics Research,33389,CS,7785,HC,3,9:30 am - 10:20 am,MWF,Manufacture Rel Discip Complex 2407,"Sonia H  Chernova (P), Sean Anthony  Wilson "
235,Robo Capstone Project,32265,CS,8741,G13,3,TBA, ,TBA,Matthew Craig  Gombolay (P)
236,Robotics Research Fnd I,27693,CS,8750,A,3,11:00 am - 12:55 pm,F,Van Leer C241,Thomas Riley  Collins (P)
237,Robotics Research Fnd I,29157,CS,8750,AL,3,TBA, ,TBA,Thomas Riley  Collins (P)
238,Robotics Research Fnd II,27267,CS,8751,A,3,11:00 am - 12:55 pm,F,Van Leer C241,Thomas Riley  Collins (P)
239,Robotics Research Fnd II,29160,CS,8751,AL,3,TBA, ,TBA,Thomas Riley  Collins (P)
240,Special Topics,31627,CS,8803,AA,3,2:00 pm - 3:15 pm,MW,Weber SST III 1,Sahil   Singla (P)
241,Special Topics,31726,CS,8803,ARM,3,8:00 am - 9:15 am,TR,Van Leer C457,TBA
242,Special Topics,28756,CS,8803,ASI,3,3:30 pm - 4:45 pm,TR,Instructional Center 115,Joy James Prabhu   Arulraj (P)
243,Special Topics,30833,CS,8803,BC,3,2:00 pm - 3:15 pm,TR,Boggs B9,Vladimir   Kolesnikov (P)
244,Special Topics,29649,CS,8803,CIF,3,12:30 pm - 1:45 pm,MW,Engineering Sci and Mechanics 202,Seymour E.  Goodman (P)
245,Special Topics,31113,CS,8803,CTC,3,8:00 am - 9:15 am,MW,College of Computing 101,TBA
246,Special Topics,30799,CS,8803,DHE,3,9:30 am - 10:45 am,MW,West Architecture 258,Andrea Grimes  Parker (P)
247,Special Topics,31722,CS,8803,GC,3,8:00 am - 9:15 am,MW,Ford Environmental Sci & Tech L1118,TBA
248,Special Topics,31528,CS,8803,GD,3,9:30 am - 10:45 am,MW,Howey Physics N210,Neha   Kumar (P)
249,Special Topics,31397,CS,8803,GE,3,8:00 am - 9:15 am,MW,College of Computing 53,"Brian Keith  McGreggor (P), Michael L  Best "
250,Special Topics,32637,CS,8803,GNN,3,3:30 pm - 4:45 pm,MW,Ford Environmental Sci & Tech L1175,TBA
251,Special Topics,31237,CS,8803,ISC,3,2:00 pm - 3:15 pm,TR,Guggenheim Aerospace 246,Courtney L  Crooks (P)
252,Special Topics,28625,CS,8803,LRD,3,12:30 pm - 1:45 pm,MW,Klaus Advanced Computing 2447,Jessica   Roberts (P)
253,Special Topics,22861,CS,8803,MAS,3,12:30 pm - 1:45 pm,MW,Weber SST III 2,"Russell Jack  Clark (P), Matthew James  Sanders "
254,Special Topics,31824,CS,8803,NM,3,2:00 pm - 3:15 pm,TR,Manufacture Rel Discip Complex 3403,Mostafa H  Ammar (P)
255,Special Topics,33196,CS,8803,PCG,3,12:30 pm - 1:20 pm,MWF,Van Leer E283,Greg   Turk (P)
256,Special Topics,30791,CS,8803,PHI,3,2:00 pm - 3:15 pm,WF,Mason 3133,Jennifer Gahee  Kim (P)
257,Special Topics,31677,CS,8803,RLR,3,11:00 am - 11:50 am,MWF,Molecular Sciences and Engr 1224,Sehoon   Ha (P)
258,Special Topics,30800,CS,8803,SCP,3,3:30 pm - 4:45 pm,TR,Engineering Sci and Mechanics 201,TBA
259,Special Topics,31132,CS,8803,SDC,3,8:00 pm - 9:15 pm,MW,TBA,Umakishore   Ramachandran (P)
260,Special Topics,33489,CS,8803,SRD,3,8:00 am - 9:15 am,TR,Instructional Center 209,Bruce N.  Walker (P)
261,Special Topics,31390,CS,8803,UPS,3,2:00 pm - 3:15 pm,TR,D.M. Smith 203,Sauvik   Das (P)
